entityLabel,entityType,fieldLrefAdlib,fieldMuseeCode,fieldMuseeLogo,fieldMuseeTitreCourt,fieldAdresse
Maison de Balzac,taxonomy_term,1,BAL,{'url': 'https://parismuseescollections.paris.fr/sites/default/files/filefield_paths/logo_musee_balzac.png'},Maison de Balzac,"{'countryCode': 'FR', 'locality': 'Paris', 'postalCode': '75016', 'addressLine1': '47, rue Raynouard', 'addressLine2': ''}"
Musée Bourdelle,taxonomy_term,2,BOU,{'url': 'https://parismuseescollections.paris.fr/sites/default/files/images/musee/cj-court_bourdelle.png'},Musée Bourdelle,"{'countryCode': 'FR', 'locality': 'Paris', 'postalCode': '75015', 'addressLine1': '18, rue Antoine Bourdelle', 'addressLine2': ''}"
"Musée Carnavalet, Histoire de Paris",taxonomy_term,3,CAR,{'url': 'https://parismuseescollections.paris.fr/sites/default/files/images/musee/cj-court_carnavalet.png'},Musée Carnavalet,"{'countryCode': 'FR', 'locality': 'Paris', 'postalCode': '75003', 'addressLine1': '16, rue des Francs-Bourgeois', 'addressLine2': None}"
"Musée Cernuschi, musée des Arts de l’Asie de la Ville de Paris",taxonomy_term,4,CER,{'url': 'https://parismuseescollections.paris.fr/sites/default/files/images/musee/logo_cernuschi-court_pngv2.png'},Musée Cernuschi,"{'countryCode': 'FR', 'locality': 'Paris', 'postalCode': '75008', 'addressLine1': '7 avenue Vélasquez', 'addressLine2': ''}"
"Musée Cognacq-Jay, le goût du XVIIIe",taxonomy_term,5,COG,{'url': 'https://parismuseescollections.paris.fr/sites/default/files/images/musee/cj-court_png_v2.png'},Musée Cognacq-Jay,"{'countryCode': 'FR', 'locality': 'Paris', 'postalCode': '75003', 'addressLine1': '8, rue Elzévir', 'addressLine2': ''}"
"Palais Galliera, musée de la Mode de la Ville de Paris",taxonomy_term,9,GAL,{'url': 'https://parismuseescollections.paris.fr/sites/default/files/images/musee/cj-court_galliera.png'},Palais Galliera,"{'countryCode': 'FR', 'locality': 'Paris', 'postalCode': '75116', 'addressLine1': '10, Avenue Pierre-1er-de-Serbie', 'addressLine2': None}"
Musée d’Art moderne de Paris,taxonomy_term,10,MAM,{'url': 'https://parismuseescollections.paris.fr/sites/default/files/images/musee/logo_mam_rs_rvb.png'},Musée d’Art moderne,"{'countryCode': 'FR', 'locality': 'Paris', 'postalCode': '75116', 'addressLine1': '11, avenue du Président Wilson', 'addressLine2': ''}"
Musée de la Libération de Paris - musée du Général Leclerc - musée Jean Moulin,taxonomy_term,11,LEC,{'url': 'https://parismuseescollections.paris.fr/sites/default/files/images/musee/logotype_liberation_paris_reseaux_plan_de_travail_18.jpg'},Musée Jean Moulin,"{'countryCode': 'FR', 'locality': 'Paris', 'postalCode': '75014', 'addressLine1': 'Place Denfert-Rochereau', 'addressLine2': '4 Avenue du Colonel Henri Rol-Tanguy'}"
Maison de Victor Hugo - Hauteville House,taxonomy_term,12,MVH,{'url': 'https://parismuseescollections.paris.fr/sites/default/files/images/musee/cj-court_mvh.jpg'},Maison de Victor Hugo,"{'countryCode': 'FR', 'locality': 'Paris', 'postalCode': '75014', 'addressLine1': '6 place des Vosges', 'addressLine2': None}"
Musée de la Vie romantique,taxonomy_term,13,MVR,{'url': 'https://parismuseescollections.paris.fr/sites/default/files/images/musee/cj-court_mvr.png'},Musée de la Vie romantique,"{'countryCode': 'FR', 'locality': 'Paris', 'postalCode': '75009', 'addressLine1': '16, rue Chaptal', 'addressLine2': ''}"
